#ItemID,FaceID,FaceTypeID,IrisColorID,FaceName,
#¤ªî†¥¹¥¤¥Ã¥Á¥ã©`£¨¥¨¥ß¥ë£©,
16017500,1000,0,,,#¼È´æ¥¨¥ß¥ëî†,
16017500,1001,1,
16017500,1002,2,
16017500,1003,3,
16017500,1004,4,
16017500,1005,10,
16017500,1006,11,
16017500,1007,12,
16017500,1008,13,
16017500,1009,14,
16017500,1010,20,
16017500,1011,21,
16017500,1012,22,
16017500,1013,23,
16017500,1014,24,
#16017500,1100,0,,,#¼È´æ¥¿¥¤¥¿¥Ë¥¢î†,
#16017500,1101,1,
#16017500,1102,2,
#16017500,1103,3,
#16017500,1104,4,
#16017500,1105,10,
#16017500,1106,11,
#16017500,1107,12,
#16017500,1108,13,
#16017500,1109,14,
#16017500,1110,20,
#16017500,1111,21,
#16017500,1112,22,
#16017500,1113,23,
#16017500,1114,24,
#16017500,1200,0,,,#¼È´æ¥É¥ß¥Ë¥ª¥óî†,
#16017500,1201,1,
#16017500,1202,2,
#16017500,1203,3,
#16017500,1204,4,
#16017500,1205,10,
#16017500,1206,11,
#16017500,1207,12,
#16017500,1208,13,
#16017500,1209,14,
#16017500,1210,20,
#16017500,1211,21,
#16017500,1212,22,
#16017500,1213,23,
#16017500,1214,24,
#16017500,1300,0,,,#¼È´æDEMî†,
#16017500,1301,1,
#16017500,1302,2,
#16017500,1303,3,
#16017500,1304,4,
#16017500,1305,10,
#16017500,1306,11,
#16017500,1307,12,
#16017500,1308,13,
#16017500,1309,14,
#16017500,1310,20,
#16017500,1311,21,
#16017500,1312,22,
#16017500,1313,23,
#16017500,1314,24,
#¤ªî†¥¹¥¤¥Ã¥Á¥ã©`£¨¥¿¥¤¥¿¥Ë¥¢£©,
16017600,1100,0,,,#¼È´æ¥¿¥¤¥¿¥Ë¥¢î†,
16017600,1101,1,
16017600,1102,2,
16017600,1103,3,
16017600,1104,4,
16017600,1105,10,
16017600,1106,11,
16017600,1107,12,
16017600,1108,13,
16017600,1109,14,
16017600,1110,20,
16017600,1111,21,
16017600,1112,22,
16017600,1113,23,
16017600,1114,24,
#16017600,1000,0,,,#¼È´æ¥¨¥ß¥ëî†,
#16017600,1001,1,
#16017600,1002,2,
#16017600,1003,3,
#16017600,1004,4,
#16017600,1005,10,
#16017600,1006,11,
#16017600,1007,12,
#16017600,1008,13,
#16017600,1009,14,
#16017600,1010,20,
#16017600,1011,21,
#16017600,1012,22,
#16017600,1013,23,
#16017600,1014,24,
#16017600,1200,0,,,#¼È´æ¥É¥ß¥Ë¥ª¥óî†,
#16017600,1201,1,
#16017600,1202,2,
#16017600,1203,3,
#16017600,1204,4,
#16017600,1205,10,
#16017600,1206,11,
#16017600,1207,12,
#16017600,1208,13,
#16017600,1209,14,
#16017600,1210,20,
#16017600,1211,21,
#16017600,1212,22,
#16017600,1213,23,
#16017600,1214,24,
#16017600,1300,0,,,#¼È´æDEMî†,
#16017600,1301,1,
#16017600,1302,2,
#16017600,1303,3,
#16017600,1304,4,
#16017600,1305,10,
#16017600,1306,11,
#16017600,1307,12,
#16017600,1308,13,
#16017600,1309,14,
#16017600,1310,20,
#16017600,1311,21,
#16017600,1312,22,
#16017600,1313,23,
#16017600,1314,24,
#¤ªî†¥¹¥¤¥Ã¥Á¥ã©`£¨¥É¥ß¥Ë¥ª¥ó£©,
16017700,1200,0,,,#¼È´æ¥É¥ß¥Ë¥ª¥óî†,
16017700,1201,1,
16017700,1202,2,
16017700,1203,3,
16017700,1204,4,
16017700,1205,10,
16017700,1206,11,
16017700,1207,12,
16017700,1208,13,
16017700,1209,14,
16017700,1210,20,
16017700,1211,21,
16017700,1212,22,
16017700,1213,23,
16017700,1214,24,
#16017700,1000,0,,,#¼È´æ¥¨¥ß¥ëî†,
#16017700,1001,1,
#16017700,1002,2,
#16017700,1003,3,
#16017700,1004,4,
#16017700,1005,10,
#16017700,1006,11,
#16017700,1007,12,
#16017700,1008,13,
#16017700,1009,14,
#16017700,1010,20,
#16017700,1011,21,
#16017700,1012,22,
#16017700,1013,23,
#16017700,1014,24,
#16017700,1100,0,,,#¼È´æ¥¿¥¤¥¿¥Ë¥¢î†,
#16017700,1101,1,
#16017700,1102,2,
#16017700,1103,3,
#16017700,1104,4,
#16017700,1105,10,
#16017700,1106,11,
#16017700,1107,12,
#16017700,1108,13,
#16017700,1109,14,
#16017700,1110,20,
#16017700,1111,21,
#16017700,1112,22,
#16017700,1113,23,
#16017700,1114,24,
#16017700,1300,0,,,#¼È´æDEMî†,
#16017700,1301,1,
#16017700,1302,2,
#16017700,1303,3,
#16017700,1304,4,
#16017700,1305,10,
#16017700,1306,11,
#16017700,1307,12,
#16017700,1308,13,
#16017700,1309,14,
#16017700,1310,20,
#16017700,1311,21,
#16017700,1312,22,
#16017700,1313,23,
#16017700,1314,24,
#¤ªî†¥¹¥¤¥Ã¥Á¥ã©`£¨DEM£©,
16017800,1300,0,,,#¼È´æDEMî†,
16017800,1301,1,
16017800,1302,2,
16017800,1303,3,
16017800,1304,4,
16017800,1305,10,
16017800,1306,11,
16017800,1307,12,
16017800,1308,13,
16017800,1309,14,
16017800,1310,20,
16017800,1311,21,
16017800,1312,22,
16017800,1313,23,
16017800,1314,24,
#16017800,1000,0,,,#¼È´æ¥¨¥ß¥ëî†,
#16017800,1001,1,
#16017800,1002,2,
#16017800,1003,3,
#16017800,1004,4,
#16017800,1005,10,
#16017800,1006,11,
#16017800,1007,12,
#16017800,1008,13,
#16017800,1009,14,
#16017800,1010,20,
#16017800,1011,21,
#16017800,1012,22,
#16017800,1013,23,
#16017800,1014,24,
#16017800,1100,0,,,#¼È´æ¥¿¥¤¥¿¥Ë¥¢î†,
#16017800,1101,1,
#16017800,1102,2,
#16017800,1103,3,
#16017800,1104,4,
#16017800,1105,10,
#16017800,1106,11,
#16017800,1107,12,
#16017800,1108,13,
#16017800,1109,14,
#16017800,1110,20,
#16017800,1111,21,
#16017800,1112,22,
#16017800,1113,23,
#16017800,1114,24,
#16017800,1200,0,,,#¼È´æ¥É¥ß¥Ë¥ª¥óî†,
#16017800,1201,1,
#16017800,1202,2,
#16017800,1203,3,
#16017800,1204,4,
#16017800,1205,10,
#16017800,1206,11,
#16017800,1207,12,
#16017800,1208,13,
#16017800,1209,14,
#16017800,1210,20,
#16017800,1211,21,
#16017800,1212,22,
#16017800,1213,23,
#16017800,1214,24,
#¤ªî†¥¹¥¤¥Ã¥Á¥ã©`£¨ÌØÊâ£©,
16017900,100,100,,,#¼È´æ¤ÎÌØÊâî†,
16017900,101,101,
16017900,102,102,
16017900,103,103,
16017900,104,104,
#¤ªî†¥¹¥¤¥Ã¥Á¥ã©`£±,
16017300,105,105,0,,#¤ªî†¥¹¥¤¥Ã¥Á¥ã©`£±,
16017300,106,105,1,
16017300,107,105,2,
16017300,108,105,3,
16017300,109,105,4,
16017300,110,105,5,
16017300,111,105,6,
16017300,112,105,7,
16017300,113,105,8,
16017300,114,105,9,
16017300,115,105,10,
16017300,116,105,11,
16017300,117,105,12,
16017300,118,105,13,
16017300,119,105,14,
16017300,120,106,0,
16017300,121,106,1,
16017300,122,106,2,
16017300,123,106,3,
16017300,124,106,4,
16017300,125,106,5,
16017300,126,106,6,
16017300,127,106,7,
16017300,128,106,8,
16017300,129,106,9,
16017300,130,106,10,
16017300,131,106,11,
16017300,132,106,12,
16017300,133,106,13,
16017300,134,106,14,
16017300,135,107,0,
16017300,136,107,1,
16017300,137,107,2,
16017300,138,107,3,
16017300,139,107,4,
16017300,140,107,5,
16017300,141,107,6,
16017300,142,107,7,
16017300,143,107,8,
16017300,144,107,9,
16017300,145,107,10,
16017300,146,107,11,
16017300,147,107,12,
16017300,148,107,13,
16017300,149,107,14,
16017300,150,108,0,
16017300,151,108,1,
16017300,152,108,2,
16017300,153,108,3,
16017300,154,108,4,
16017300,155,108,5,
16017300,156,108,6,
16017300,157,108,7,
16017300,158,108,8,
16017300,159,108,9,
16017300,160,108,10,
16017300,161,108,11,
16017300,162,108,12,
16017300,163,108,13,
16017300,164,108,14,
16017300,165,109,0,
16017300,166,109,1,
16017300,167,109,2,
16017300,168,109,3,
16017300,169,109,4,
16017300,170,109,5,
16017300,171,109,6,
16017300,172,109,7,
16017300,173,109,8,
16017300,174,109,9,
16017300,175,109,10,
16017300,176,109,11,
16017300,177,109,12,
16017300,178,109,13,
16017300,179,109,14,
#¤ªî†¥¹¥¤¥Ã¥Á¥ã©`£¨¥Í¥³¥Þ¥¿£©,
16017301,200,200,0,¥Í¥³¥Þ¥¿£¨ÌÒ£©,#ÌÒ,
16017301,201,200,1,
16017301,202,200,2,
16017301,203,200,3,
16017301,204,200,4,
