イワナ,10105800
アユ,10105900
ヤマメ,10106000
クサフグ,10106100
グッピー,10106200
アルビノグッピー,10106300
ヒメマス,10106400
ニジマス,10106500
マリモ,10106600
ネオンテトラ,10106700
カーディナルテトラ,10106701
グローライトテトラ,10106702
レモンテトラ,10106703
ラミーノーズテトラ,10106704
キャッスルテトラ,10106705
ブラックファントムテトラ,10106706
フレームテトラ,10106707
アルビノテトラ,10106708
レッドグラミー,10106800
サンセットグラミー,10106801
バンデッドグラミー,10106802
マーブルグラミー,10106803
パールグラミー,10106804
シルバーグラミー,10106805
チョコレートグラミー,10106806
ピグミーグラミー,10106807
ジャイアントグラミー,10106808
アルビノグラミー,10106809
シャベルノーズギターフィッシュ,10106900
ブラックテールエンジェルフィッシュ,10107000
イエローテールエンジェルフィッシュ,10107001
レッドテールエンジェルフィッシュ,10107002
ブルーテールエンジェルフィッシュ,10107003
桜和金,10107100
朱文金,10107101
庄内金魚,10107102
鉄魚,10107103
和金,10107104
出目金,10107105
クロメダカ,10107200
ヒメダカ,10107201
アオメダカ,10107202
アルビノメダカ,10107203
ダルマメダカ,10107204
ヒカリメダカ,10107205
鏡鯉,10107300
錦鯉,10107301
緋鯉,10107302
黒鯉,10107303
アカハライモリ,10107400
マダライモリ,10107401
アルビノイモリ,10107402
シジミ,10107500
サンショウウオ,10107600
オオサンショウウオ,10107700
ハヤ,10107800
ウグイ,10107900
イクラ,10108000
テナガエビ,10108100
サワガニ,10108200
ワカサギ,10108300
ブラックバス,10108400
アルビノバス,10108401
チョウザメ,10108500
イカ,10108600
アジ,10108700
アナゴ,10108800
アンコウ,10108900
イシダイ,10109000
ウミヘビ,10109100
ウツボ,10109200
キス,10109300
カワハギ,10109400
カツオ,10109500
クマノミ,10109600
カレイ,10109700
ヒラメ,10109800
クロマグロ,10109900
キハダマグロ,10110000
カジキマグロ,10110100
ベニジャケ,10110200
サンマ,10110300
シシャモ,10110400
タチウオ,10110500
タツノオトシゴ,10110600
チョウチョウウオ,10110700
トビウオ,10110800
イトマキエイ,10110900
ハコフグ,10111000
ハモ,10111100
ハリセンボン,10111200
ブリ,10111300
イワシ,10111400
サバ,10111500
タイ,10111600
タコ,10111700
マンボウ,10111800
ホッケ,10111900
ニシン,10112000
カタクチイワシ,10112100
ダイオウイカ,10112200
ミズクラゲ,10112300
アカクラゲ,10112301
カツオノエボシ,10112302
ワカメ,10112400
コンブ,10112401
バフンウニ,10112500
ムラサキウニ,10112501
イセエビ,10112600
ウミウシ,10112700
ホタテ,10112800
アサリ,10112801
シャチ,10112900
アワビ,10113000
シーラカンス,10113100
トラフグ,10113200
バンドウイルカ,10113300
リュウグウノツカイ,10113400
モンハナシャコ,10113500
ヒトデ,10113600
コバンザメ,10113700
ネコザメ,10113800
ジンベイザメ,10113900
シュモクザメ,10114000
ノコギリザメ,10114100
イタチザメ,10114200
ホオジロザメ,10114300
イイダコ,10114400
ウナギ,10114500
オオウナギ,10114501
電気ウナギ,10114502
ハゼ,10114600
トビハゼ,10114601
メガロドラス,10114700
アカンソドラス,10114701
チャカ チャカ,10114702
ナマズ,10114703
アルビノナマズ,10114704
オオナマズ,10114705
ムツゴロウ,10114800
ゴールデンアロワナ,10114900
シルバーアロワナ,10114901
ブラックアロワナ,10114902
ホワイトアロワナ,10114903
アルビノアロワナ,10114904
グリーンアロワナ,10114905
レッドアロワナ,10114906
イエローアロワナ,10114907
ブルーアロワナ,10114908
ブラックピラニア,10115000
イエローピラニア,10115001
レッドピラニア,10115002
ブルーピラニア,10115003
アルビノピラニア,10115004
フナ,10115100
キンブナ,10115101
ギンブナ,10115102
ブルーギル,10115200
コメツキガニ,10115300
ワタリガニ,10115301
ザリガニ,10115400
アルビノザリガニ,10115401
スッポン,10115500
ドジョウ,10115600
タニシ,10115700
トノサマガエル,10115800
アマガエル,10115801
ヒキガエル,10115802
オオヒキガエル,10115803
ヤドクガエル,10115804
タナゴ,10115900
スイレン,10116000
ウキクサ,10116100
アホロートル,10116200
ゲンゴロウ,10116300
ピラルク,10116400
アルビノピラルク,10116401
ブラックゴースト,10116500
アリゲーターガー,10116600
アリゲーター,10116700
クロコダイル,10116701
ナイフフィッシュ,10116800
ヤドカリ,10116900
ヤゴ,10117000
ヤシガニ,10117100
アルビノヤシガニ,10117101
マレーコッド,10117200
オタマジャクシ,10117300
アカミミガメ,10117400
ワニガメ,10117401
キンセンガメ,10117402
クサガメ,10117403
