
# ????????????????番?,
CLIENT_DATA_CODE_PAGE,"0",

# ????????,
APP_ERR_BOOT_LAUNCH,"请执行eco_launch",
APP_ERR_PROBLEM,"出现问题，主程式终止",

APP_MENU_SYSTEM,"系统",
APP_MENU_LOGOUT,"退出",
APP_MENU_END,"终止",

# DirectX,
DX_ERR_TEX_FMT,"不能制作「A8R8G8B8」或「A1R5G5B5」的组织 ",
DX_ERR_CANT_INIT,"不能初期化Direct 3D",
DX_ERR_CANT_FIND_D3D,"没有发现有互换性的Direct 3D",
DX_ERR_RUN_16_OR_32_DM,"请在16bit 或 32bit 的显示模式里实行"

DX_ERRMSG_0,"正常终止",
DX_ERRMSG_1,"The DirectX version is lower than 8.0"
DX_ERRMSG_2,"DirectX的初期化中失败了",
DX_ERRMSG_3,"在软件上实行的状态非常缓慢"
DX_ERRMSG_4,"DirectX的执行中失败了",
DX_ERRMSG_5,"需要的文件不足",
DX_ERRMSG_6,"请执行eco_launch",

# misc,
MISC_NUM_0,"0",
MISC_NUM_1,"1",
MISC_NUM_2,"2",
MISC_NUM_3,"3",
MISC_NUM_4,"4",
MISC_NUM_5,"5",
MISC_NUM_6,"6",
MISC_NUM_7,"7",
MISC_NUM_8,"8",
MISC_NUM_9,"9",

MISC_DAY_0,"星期日",
MISC_DAY_1,"星期一",
MISC_DAY_2,"星期二",
MISC_DAY_3,"星期三",
MISC_DAY_4,"星期四",
MISC_DAY_5,"星期五",
MISC_DAY_6,"星期六",

# font ",
FONT_SELECT_0,"roman",
FONT_SELECT_1,"roman",
FONT_SELECT_2,"roman",
FONT_SELECT_3,"roman",
FONT_SELECT_4,"roman",
FONT_SELECT_5,"roman",
FONT_SELECT_6,"roman",
FONT_SELECT_7,"roman",
FONT_SELECT_8,"roman",
FONT_SELECT_9,"roman",

FONT_3POINT_LEADER,"…",

# ???全般,
GAME_SCRSHOT_OK,"已储存",
GAME_CAPACITY_OVER,"超过体积",
GAME_PAYLOAD_OVER,"超过重量",
GAME_SIT,"坐下",
GAME_SIGN_COMMENT,"招牌框",
GAME_POSSESS_COMMENT,"凭衣对话框",
GAME_NO_EQUIP_ITEM,"不是装备道具",
GAME_HAVE_NOT_EQUIP_COND,"装备条件不符",
GAME_POSSESS_ITEM,"凭依道具",
GAME_INDEPENDENT,"无属性",
GAME_NORMAL,"一般",
GAME_POSSESS,"凭依中",
GAME_CHR_ROT,"人物转换",
GAME_COMMENT_INPUT_COLUMN,"在招牌框内输入内容",
GAME_WEIGHT,"重量",
GAME_CAPACITY,"体积",
GAME_NAME_TOO_LONG,"名称太长",
GAME_CONTENT_TOO_LONG,"内容太长",
GAME_CONFIRM,"确认",
