#マップＩＤ,マップ名,管理するサーバーID,ミニマップの描画（0　非表示、1　表示）,代替マップID,脱出ワープＩＤ,実際に使用しているマップID（コピーマップ元のID）,NPC_MASK,PVPフィールド, 
10001000,北方海角,1,1,10001000,-1,
10001001,北方海角,2,1,10001000,-1,
10002000,瑞路斯雪原,3,1,10002000,-1,
10002001,瑞路斯雪原宠物养殖场,4,1,10002000,-1,
10003000,瑞路斯山道,5,1,10003000,-1,
10004000,瑞路斯分岔路,6,1,10004000,-1,
10014000,奥克鲁尼亚北部平原,1,1,10014000,-1,
10014001,奥克鲁尼亚北部平原,1,1,10014000,-1,
10014002,指导地图,1,1,10014000,-1,
10014012,指导地图,2,1,10014000,-1,
10014022,指导地图,3,1,10014000,-1,
10014032,指导地图,4,1,10014000,-1,
10014042,指导地图,5,1,10014000,-1,
10014052,指导地图,6,1,10014000,-1,
10015000,奥克鲁尼亚丛林,1,1,10015000,-1,
10017000,帕斯特街道,2,1,10017000,-1,
10017001,农夫农场,3,1,10017000,-1,
10018000,东方海角,1,1,10018000,-1,
10018001,东方海角,2,1,10018000,-1,
10018002,东方海角,3,1,10018000,-1,
10018003,东方海角,4,1,10018000,-1,
10018100,东方海角,5,1,10018000,-1,
10018101,东方海角,6,1,10018000,-1,
10018102,东方海角,1,1,10018000,-1,
10018103,东方海角,2,1,10018000,-1,
10019000,不死岛屿,4,1,10019000,-1,
10019100,不死岛屿,5,1,10019000,-1,
10020000,杀人蜂山路,6,1,10020000,-1,
10022000,奥克鲁尼亚西部平原,2,1,10022000,-1,
10023000,上城,1,1,10023000,-1,
10023001,上城练习场,2,1,10023000,-1,
10023100,上城东边吊桥,4,1,10023000,-1,
10023200,上城西边吊桥,4,1,10023000,-1,
10023300,上城南边吊桥,5,1,10023000,-1,
10023400,上城北边吊桥,6,1,10023000,-1,
10024000,下城,1,1,10023000,-1,
10025000,奥克鲁尼亚东部平原,6,1,10025000,-1,
10025001,奥克鲁尼亚东部平原,6,1,10025000,-1,
10028000,摩尔瑞断崖,3,1,10028000,-1,
10030000,果树森林,2,1,10030000,-1,
10031000,奥克鲁尼亚南部平原,4,1,10031000,-1,
