#NPCID,NAME,MAPID,座標Ｘ,座標Ｙ,方向,scale,ＥＶＥＮＴＩＤ,NOTOUCH,ＰＩＣＴＩＤ,初期モーション,透明度(0~255)この値を 0 以外にすると重くなるので注意してください,デフォルト表示,円形影の描画,FLAG,NPC表示設定, 

#10000000,
#10000001,
#10000002,
10000003,上城东门守卫,10023100,222,126,6,1.1,10000003,0,10000003,111,0,1,0,
10000013,上城西门守卫,10023200,33,129,2,1.1,10000013,0,10000013,111,0,1,0,
10000023,上城南门守卫,10023300,129,223,0,1.1,10000023,0,10000023,111,0,1,0,
10000033,上城北门守卫,10023400,126,33,4,1.1,10000033,0,10000033,111,0,1,0,
11000000,行会宫殿向导,30110000,10,16,7,1,11000000,0,11000000,111,0,1,0,
11000001,下城的优秀阿姨,10024000,131,151,2,1,11000001,0,11000001,111,0,1,0,
11000002,咖啡馆老板,30010000,1,0,7,1,11000002,0,11000002,111,0,1,0,
11000003,古董商店店员,30014000,5,1,1,1,11000003,0,11000003,111,0,1,0,
11000004,武器商店店员,30012000,2,1,0,1,11000004,0,11000004,111,0,1,0,
#11000005,占卜店店员,30001000,2,1,0,1.05,11000005,0,11000005,111,0,1,0,
11000006,东方的露天商店店员,10024000,138,128,6,1,11000006,0,11000006,111,0,1,0,
11000007,西方的露天商店店员,10024000,117,127,2,1,11000007,0,11000007,111,0,1,0,
11000008,南方的露天商店店员,10024000,127,138,0,1,11000008,0,11000008,111,0,1,0,
11000009,北方的露天商店店员,10024000,128,117,4,1,11000009,0,11000009,111,0,1,0,
11000010,解答大叔,30002000,2,1,7,1.2,11000010,0,11000010,111,0,1,0,
11000011,行会宫殿向导,30111000,10,16,7,1,11000011,0,11000011,111,0,1,0,
11000012,行会宫殿向导,30112000,10,16,7,1,11000012,0,11000012,111,0,1,0,
11000013,行会宫殿向导,30113000,10,16,7,1,11000013,0,11000013,111,0,1,0,
11000014,行会宫殿向导,30114000,10,16,7,1,11000014,0,11000014,111,0,1,0,
11000015,剑士总管,30040000,3,3,0,1.1,11000015,0,11000015,111,0,1,0,
11000016,骑士总管,30041000,3,3,0,1,11000016,0,11000016,111,0,1,0,
11000017,盗贼总管,30042000,3,3,0,1,11000017,0,11000017,111,0,1,0,
11000018,弓手总管,30043000,3,3,0,1,11000018,0,11000018,111,0,1,0,
11000019,魔法系总管,30044000,3,2,0,1.1,11000019,0,11000019,111,0,1,0,
11000020,矿工总管,30045000,3,3,0,1,11000020,0,11000020,111,0,1,0,
11000021,机械师总管,30046000,3,3,0,1.15,11000021,0,11000021,111,0,1,0,
11000022,农夫总管,30047000,3,3,0,1,11000022,0,11000022,111,0,1,0,
11000023,链金术师总管,30048000,3,3,0,1,11000023,0,11000023,111,0,1,0,
11000024,木偶使总管,30049000,3,3,0,1.05,11000024,0,11000024,111,0,1,0,
11000025,冒险家总管,30050000,3,3,0,1,11000025,0,11000025,111,0,1,0,
11000026,商人总管,30051000,3,3,0,1.05,11000026,0,11000026,111,0,1,0,
11000027,塔妮亚利益代表,30052000,3,4,0,1,11000027,0,11000027,111,0,1,0,
11000028,道米尼利益代表,30053000,3,4,0,1,11000028,0,11000028,111,0,1,0,
11000029,玛欧斯,30054000,3,3,0,1,11000029,0,11000029,111,0,1,0,
11000030,彼特乌  ,30054000,1,4,6,1,11000030,0,11000030,111,0,1,0,
11000031,卡玛,30054000,5,4,2,1,11000031,0,11000031,111,0,1,0,
11000032,小丘比,30055000,3,3,0,1,11000032,0,11000032,111,0,1,0,
11000033,长官室警备,30100000,2,13,6,1.1,11000033,0,11000033,111,0,1,0,
11000034,长官室警备,30101000,2,13,6,1.1,11000034,0,11000034,111,0,1,0,
11000035,长官室警备,30102000,2,13,6,1.1,11000035,0,11000035,111,0,1,0,
11000036,长官室警备,30103000,2,13,6,1.1,11000036,0,11000036,111,0,1,0,
11000037,东军骑士团长官,30100000,5,5,0,1.1,11000037,0,11000037,111,0,1,0,
11000038,西军骑士团长官,30101000,5,5,0,1.1,11000038,0,11000038,111,0,1,0,
11000039,南军骑士团长官,30102000,5,5,0,1.1,11000039,0,11000039,111,0,1,0,
11000040,北军骑士团长官,30103000,5,5,0,1.1,11000040,0,11000040,111,0,1,0,
11000041,白之圣堂祭司,30120000,8,7,7,1,11000041,0,11000041,111,0,1,0,
11000042,黑之圣堂祭司,30121000,8,7,7,1,11000042,0,11000042,111,0,1,0,
11000043,宝石商人,30021000,3,1,0,1,11000043,0,11000043,111,0,1,0,
11000044,贤者首领,30022000,3,1,0,1.1,11000044,0,11000044,111,0,1,0,
#11000045,,,,,,,,,,111,0,1,0,
#11000046,,,,,,,,,,111,0,1,0,
#11000047,,,,,,,,,,111,0,1,0,
