# úù¤e????ID???????¦”£t???????????¦”£t????????,,,
# ??????????????????????¨Á???????????¥K????,,,
# ???ID,R,G,B
#???????,,,
#10014000,0.3,0.5,0.7
#,,,
#þÕ??????¡@¤e,,,
#10001000,0.7,0.7,0.9
#10049000,0.4,0.4,0.6
#10050000,0.4,0.4,0.6
#10051000,0.4,0.4,0.6
#10051100,0.4,0.4,0.6
#10065000,0.3,0.3,0.5
#10067000,0.4,0.4,0.6
#FE??????ýÌMAP¡@¤e,,,
10069000,0.7,0.7,0.7
10905000,0.7,0.7,0.7
#??????,,,
10060000,0.8,0.8,0.8
#????????????,,,
10070000,0.8,0.8,0.8
#????????????,,,
20146000,0.8,0.8,0.8
20163000,0.8,0.8,0.8
#????? ?Ver,,,
#10071000,0.4,0.6,0.9
#??????? ?Ver,,,
10071001,0.4,0.6,0.9
#????? ?,,,
10059001,0.4,0.6,0.9
#?????ýú ?,,,
10059101,0.4,0.6,0.9
10059102,0.8,0.8,0.8
#??????????¡@¤e,,,
#10001000,0.7,0.7,0.9
#10049000,0.4,0.4,0.6
#10050000,0.4,0.4,0.6
#10051000,0.4,0.4,0.6
#10051100,0.4,0.4,0.6
#10065000,0.3,0.3,0.5
#10067000,0.4,0.4,0.6
