#パートナーセリフカスタマイズ設定シート,
#セリフID,セリフ内容,備考,
10000,パートナーを装備した時のセリフ,
10002,戦闘中のセリフ,
10003,主人が行動不能状態になった時のセリフ,
10004,戦闘していない時のセリフ,
10006,主人が状態異常になった時のセリフ,
10007,主人がパーティーに誘われて、参加した時のセリフ,
10008,主人がパーティーを解散した時のセリフ,
10009,主人が持つことのできる重量、容量を超過した時,
10013,パートナーがダンジョン内に出現した時のセリフ,
10014,主人が誰かに憑依した時のセリフ,
10015,主人が誰かに憑依された時のセリフ,
10016,主人が/orzした時のセリフ,
10017,主人が/dogezaした時のセリフ,
10018,主人が戦闘を開始した時のセリフ,
10019,主人がレベルアップした時のセリフ,
10020,主人がログアウトを開始した時のセリフ,
10026,主人が/sit、/chairした時のセリフ,
10027,主人が/relax、/breakした時のセリフ,
10028,主人が/bowした時のセリフ,
10029,主人が/turn1、/turn2、/yahoo、/joyした時のセリフ,
80100,パートナーが信頼度（青）になった時のセリフ,
80101,主人がログインした時のセリフ,
80102,パートナー時にレベルが上がった時のセリフ,
80103,パートナー装備をつけた時のセリフ,
80104,パートナーの信頼度の色が変わった時のセリフ,
80105,食事を与えた時のセリフ,
80106,食事を与られるようになった時のセリフ,
80107,パートナーの負傷時間が５分経過した時のセリフ,
80109,「かんたんAI設定」で攻撃重視を設定した時のセリフ,
80110,「かんたんAI設定」で支援重視を設定した時のセリフ,
80111,「かんたんAI設定」で追従を設定した時のセリフ,
80112,「かんたんAI設定」でカスタムを設定した時のセリフ,
