#ID,Name,主动,最大Lv,Lv,JobLv,MP,SP,吟唱时间,延迟,射程,目标,目标2,范围,技能释放射程,所需装备,技能Flag
100,HP上限增加,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
100,HP上限增加,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
100,HP上限增加,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
100,HP上限增加,0,5,4,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
100,HP上限增加,0,5,5,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
101,MP上限增加,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
101,MP上限增加,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
101,MP上限增加,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
101,MP上限增加,0,5,4,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
101,MP上限增加,0,5,5,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
102,SP上限增加,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
102,SP上限增加,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
102,SP上限增加,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
102,SP上限增加,0,5,4,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
102,SP上限增加,0,5,5,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
103,HP回复力上升,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
103,HP回复力上升,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
103,HP回复力上升,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
103,HP回复力上升,0,5,4,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
103,HP回复力上升,0,5,5,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
104,MP回复力上升,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
104,MP回复力上升,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
104,MP回复力上升,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
104,MP回复力上升,0,5,4,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
104,MP回复力上升,0,5,5,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
105,SP回复力上升,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
105,SP回复力上升,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
105,SP回复力上升,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
105,SP回复力上升,0,5,4,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
105,SP回复力上升,0,5,5,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
106,魔法抵抗,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
106,魔法抵抗,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
106,魔法抵抗,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
106,魔法抵抗,0,5,4,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
106,魔法抵抗,0,5,5,0,0,0,0,0,0,1,0,0,255,0x00000000,0x00000000
107,剑专精,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00001002,0x00000000
107,剑专精,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00001002,0x00000000
107,剑专精,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00001002,0x00000000
107,剑专精,0,5,4,0,0,0,0,0,0,1,0,0,255,0x00001002,0x00000000
107,剑专精,0,5,5,0,0,0,0,0,0,1,0,0,255,0x00001002,0x00000000
108,斧专精,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00000010,0x00000000
108,斧专精,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00000010,0x00000000
108,斧专精,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00000010,0x00000000
108,斧专精,0,5,4,0,0,0,0,0,0,1,0,0,255,0x00000010,0x00000000
108,斧专精,0,5,5,0,0,0,0,0,0,1,0,0,255,0x00000010,0x00000000
109,矛专精,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00000020,0x00000000
109,矛专精,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00000020,0x00000000
109,矛专精,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00000020,0x00000000
109,矛专精,0,5,4,0,0,0,0,0,0,1,0,0,255,0x00000020,0x00000000
109,矛专精,0,5,5,0,0,0,0,0,0,1,0,0,255,0x00000020,0x00000000
110,落樱,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00000004,0x00000000
110,落樱,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00000004,0x00000000
110,落樱,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00000004,0x00000000
110,落樱,0,5,4,0,0,0,0,0,0,1,0,0,255,0x00000004,0x00000000
110,落樱,0,5,5,0,0,0,0,0,0,1,0,0,255,0x00000004,0x00000000
111,钝器专精,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00000008,0x00000000
111,钝器专精,0,5,2,0,0,0,0,0,0,1,0,0,255,0x00000008,0x00000000
111,钝器专精,0,5,3,0,0,0,0,0,0,1,0,0,255,0x00000008,0x00000000
111,钝器专精,0,5,4,0,0,0,0,0,0,1,0,0,255,0x00000008,0x00000000
111,钝器专精,0,5,5,0,0,0,0,0,0,1,0,0,255,0x00000008,0x00000000
112,投掷专精,0,5,1,0,0,0,0,0,0,1,0,0,255,0x00080040,0x00000000
