上城,奧克魯尼亞東部平原,10025000,10000000,1,126
上城,東軍本部入口,30030000,10000001,2,5
上城,東軍本部入口,30030000,10000002,2,5
上城,上城東邊吊橋,10023100,10000004,224,126
上城,下城,10024000,10000005,208,140
上城,下城,10024000,10000006,208,112
東軍本部入口,東軍本部長官室,30100000,10000007,4,14
上城,奧克魯尼亞西部平原,10022000,10000010,252,126
上城,西軍本部入口,30031000,10000011,2,5
上城,西軍本部入口,30031000,10000012,2,5
上城,上城西邊吊橋,10023200,10000014,30,126
上城,下城,10024000,10000015,46,112
上城,下城,10024000,10000016,46,140
西軍本部入口,西軍本部長官室,30101000,10000017,4,14
上城,奧克魯尼亞南部平原,10031000,10000020,126,1
上城,南軍本部入口,30032000,10000021,2,5
上城,南軍本部入口,30032000,10000022,2,5
上城,上城南邊吊橋,10023300,10000024,126,225
上城,下城,10024000,10000025,112,208
上城,下城,10024000,10000026,140,208
南軍本部入口,南軍本部長官室,30102000,10000027,4,14
上城,奧克魯尼亞北部平原,10014000,10000030,126,252
上城,北軍本部入口,30033000,10000031,2,5
上城,北軍本部入口,30033000,10000032,2,5
上城,上城北邊吊橋,10023400,10000034,126,30
上城,下城,10024000,10000035,140,46
上城,下城,10024000,10000036,112,46
北軍本部入口,北軍本部長官室,30103000,10000037,4,14
上城,賢者首領之家,30022000,10000040,3,5
上城,寶石商店,30021000,10000043,3,5
上城,行會宮殿大樓中庭,30110000,10000044,12,21
上城,白之聖堂,30120000,10000045,10,21
上城,黑之聖堂,30121000,10000046,10,21
白之聖堂,上城,10023000,10000047,163,126
黑之聖堂,上城,10023000,10000048,90,126
下城,上城東邊吊橋,10023100,10000050,210,140
下城,上城東邊吊橋,10023100,10000051,210,112
下城,咖啡館,30010000,10000053,3,5
下城,上城西邊吊橋,10023200,10000055,43,112
下城,上城西邊吊橋,10023200,10000056,43,140
下城,古董商店,30014000,10000058,3,5
下城,上城南邊吊橋,10023300,10000060,112,210
下城,上城南邊吊橋,10023300,10000061,140,210
下城,武器商人,30012000,10000063,3,5
下城,上城北邊吊橋,10023400,10000065,140,43
下城,上城北邊吊橋,10023400,10000066,112,43
下城,占卜店,30001000,10000068,2,4
下城,劇場門廊1,30180000,10000100,8,16
下城,劇場門廊2,30181000,10000101,8,16
下城,劇場門廊3,30182000,10000102,8,16
下城,劇場門廊4,30183000,10000103,8,16
東軍本部入口,上城東邊吊橋,10023100,10000120,231,136
西軍本部入口,上城西邊吊橋,10023200,10000124,23,117
南軍本部入口,上城南邊吊橋,10023300,10000128,117,232
北軍本部入口,上城北邊吊橋,10023400,10000132,136,23
占卜店,下城,10024000,10000142,126,48
解答小屋,下城,10024000,10000143,58,87
古董商店,下城,10024000,10000144,48,126
咖啡館,下城,10024000,10000145,207,126
武器商人,下城,10024000,10000146,126,207
寶石商店,上城,10023000,10000149,152,98
賢者首領之家,上城,10023000,10000150,100,98
行會宮殿大樓中庭,上城,10023000,10000151,126,93
劇場放映室1,劇場門廊1,30180000,10000152,8,1
劇場放映室3,劇場門廊2,30181000,10000153,8,1
劇場放映室1,劇場門廊3,30182000,10000154,8,1
劇場放映室3,劇場門廊4,30183000,10000155,8,1
劇場門廊1,下城,10024000,10000156,143,110
劇場門廊2,下城,10024000,10000157,110,143
劇場門廊3,下城,10024000,10000158,143,143
劇場門廊4,下城,10024000,10000159,110,110
奧克魯尼亞東部平原,上城東邊吊橋,10023100,10000160,252,126
奧克魯尼亞西部平原,上城西邊吊橋,10023200,10000161,2,126
奧克魯尼亞南部平原,上城南邊吊橋,10023300,10000162,126,252
奧克魯尼亞北部平原,上城北邊吊橋,10023400,10000163,126,2
奧克魯尼亞東海岸,大陸之洞窟B1F,20000000,10000170,62,23
大陸之洞窟B1F,奧克魯尼亞東海岸,10034000,10000171,36,56
大陸之洞窟B1F,大陸之洞窟B2F,20001000,10000172,105,106
大陸之洞窟B2F,大陸之洞窟B1F,20000000,10000173,105,106
大陸之洞窟B2F,大陸之洞窟B3F,20002000,10000174,21,62
大陸之洞窟B3F,大陸之洞窟B2F,20001000,10000175,21,62
大陸之洞窟B3F,大陸之洞窟B4F,20003000,10000176,105,62
大陸之洞窟B4F,大陸之洞窟B3F,20002000,10000177,105,62
大陸之洞窟B4F,大陸之洞窟B5F,20004000,10000178,62,101
大陸之洞窟B5F,大陸之洞窟B4F,20003000,10000179,61,103
瑞路斯雪原,冰結的坑道B1F,20010000,10000182,62,11
冰結的坑道B1F,瑞路斯雪原,10002000,10000183,49,221
冰結的坑道B1F,冰結的坑道B1F,20010000,10000184,43,67
冰結的坑道B1F,冰結的坑道B1F,20010000,10000185,57,65
冰結的坑道B1F,冰結的坑道B1F,20010000,10000186,89,65
冰結的坑道B1F,冰結的坑道B1F,20010000,10000187,69,65
冰結的坑道B1F,冰結的坑道B1F,20010000,10000188,99,112
冰結的坑道B1F,冰結的坑道B1F,20010000,10000189,110,111
冰結的坑道B1F,冰結的坑道B2F,20011000,10000192,12,108
冰結的坑道B2F,冰結的坑道B1F,20010000,10000193,11,108
冰結的坑道B2F,冰結的坑道B3F,20012000,10000196,113,64
冰結的坑道B3F,冰結的坑道B2F,20011000,10000197,115,64
冰結的坑道B3F,冰結的坑道B3F,20012000,10000198,57,64
冰結的坑道B3F,冰結的坑道B3F,20012000,10000199,77,65
永恆深淵聳立的門,上城,10023000,10000201,130,139
行會宮殿2樓,劍士行會,30040000,10000204,3,6
行會宮殿2樓,騎士行會,30041000,10000205,3,6
行會宮殿2樓,盜賊行會,30042000,10000206,3,6
行會宮殿2樓,弓手行會,30043000,10000207,3,6
行會宮殿3樓,魔法系行會,30044000,10000208,3,6
行會宮殿3樓,鐵匠行會,30045000,10000209,3,6
行會宮殿3樓,機械師行會,30046000,10000210,3,6
行會宮殿3樓,農夫行會,30047000,10000211,3,6
行會宮殿4樓,鍊金術師行會,30048000,10000212,3,6
行會宮殿4樓,木偶使行會,30049000,10000213,3,6
行會宮殿4樓,冒險家行會,30050000,10000214,3,6
行會宮殿4樓,商人行會,30051000,10000215,3,6
行會宮殿5樓,塔妮亞利益代表的房間,30052000,10000216,3,6
行會宮殿5樓,道米尼利益代表的房間,30053000,10000217,3,6
行會宮殿5樓,少數民族利益代表的房?,30054000,10000218,3,6
行會宮殿5樓,？？？的房間,30055000,10000219,3,6
劍士行會,行會宮殿2樓,30111000,10000220,25,13
騎士行會,行會宮殿2樓,30111000,10000221,1,13
盜賊行會,行會宮殿2樓,30111000,10000222,13,25
弓手行會,行會宮殿2樓,30111000,10000223,13,1
魔法系行會,行會宮殿3樓,30112000,10000224,25,13
鐵匠行會,行會宮殿3樓,30112000,10000225,1,13
機械師行會,行會宮殿3樓,30112000,10000226,13,25
農夫行會,行會宮殿3樓,30112000,10000227,13,1
鍊金術師行會,行會宮殿4樓,30113000,10000228,25,13
木偶使行會,行會宮殿4樓,30113000,10000229,1,13
冒險家行會,行會宮殿4樓,30113000,10000230,13,25
商人行會,行會宮殿4樓,30113000,10000231,13,1
塔妮亞利益代表的房間,行會宮殿5樓,30114000,10000232,25,13
道米尼利益代表的房間,行會宮殿5樓,30114000,10000233,1,13
少數民族利益代表的房?,行會宮殿5樓,30114000,10000234,13,25
？？？的房間,行會宮殿5樓,30114000,10000235,13,1
軍艦島,廢炭礦B1F,20030000,10000236,62,10
廢炭礦B1F,軍艦島,10035000,10000237,43,192
廢炭礦B1F,廢炭礦B2F,20031000,10000238,62,113
廢炭礦B2F,廢炭礦B1F,20030000,10000239,62,115
廢炭礦B2F,廢炭礦B3F,20032000,10000240,106,113
廢炭礦B3F,廢炭礦B2F,20031000,10000241,106,113
瑞路斯雪原,瑞路斯山道,10003000,10000248,2,31
瑞路斯山道,瑞路斯雪原,10002000,10000249,252,30
